Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
2,The Eight Hundred,"$336,404,741","$188,258",<0.1%,"$336,216,483",99.9%
3,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
4,Dolittle,"$246,387,220","$77,047,065",31.3%,"$169,340,155",68.7%
5,Tenet,"$207,000,000","$29,500,000",14.3%,"$177,500,000",85.7%
6,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
7,Onward,"$134,864,736","$61,555,145",45.6%,"$73,309,591",54.4%
8,The Invisible Man,"$130,880,257","$64,914,050",49.6%,"$65,966,207",50.4%
9,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
10,Fantasy Island,"$47,341,051","$26,441,782",55.9%,"$20,899,269",44.1%
11,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
12,Mulan,"$37,600,000",-,-,"$37,600,000",100%
13,Peninsula,"$35,328,105","$891,350",2.5%,"$34,436,755",97.5%
14,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
15,Bloodshot,"$30,891,657","$10,021,787",32.4%,"$20,869,870",67.6%
16,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
17,The New Mutants,"$29,290,368","$15,290,368",52.2%,"$14,000,000",47.8%
18,Unhinged,"$25,826,556","$13,826,556",53.5%,"$12,000,000",46.5%
19,Emma.,"$25,628,721","$10,055,355",39.2%,"$15,573,366",60.8%
20,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
21,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
22,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
23,Scoob!,"$19,600,000",-,-,"$19,600,000",100%
24,The Turning,"$18,596,338","$15,472,775",83.2%,"$3,123,563",16.8%
25,Baaghi 3,"$16,724,862","$721,439",4.3%,"$16,003,423",95.7%
26,Trolls World Tour,"$15,045,694",-,-,"$15,045,694",100%
27,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
28,I Still Believe,"$14,555,755","$9,868,521",67.8%,"$4,687,234",32.2%
29,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$13,369,307",-,-,"$13,369,307",100%
30,The Personal History of David Copperfield,"$11,597,529","$1,404,044",12.1%,"$10,193,485",87.9%
31,Greenland,"$11,500,000",-,-,"$11,500,000",100%
32,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
33,The Hunt,"$10,651,168","$5,812,500",54.6%,"$4,838,668",45.4%
34,My Spy,"$10,200,000",-,-,"$10,200,000",100%
35,After We Collided,"$10,200,000",-,-,"$10,200,000",100%
36,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
37,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
38,Malang,"$8,396,547",-,-,"$8,396,547",100%
39,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
40,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
41,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
42,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
43,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
44,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
45,Military Wives,"$4,172,000",-,-,"$4,172,000",100%
46,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
47,The SpongeBob Movie: Sponge on the Run,"$3,943,000","$3,943,000",100%,-,-
48,The Wretched,"$3,824,943","$1,814,193",47.4%,"$2,010,750",52.6%
